,Unnamed: 0_x,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,k,teams_matched,score,Unnamed: 0_y,teams_y,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
0,0,R Aldosivi (R) Tigre (R),2.75,3.25,2.4,1.78,2.5,1.92,1,Aldosivi 2 CA Tigre 2,73,0,Aldosivi 2 CA Tigre 2,2.75,3.05,2.50,1.77,2.5,1.94
1,1,R Colon (R) Estudiantes (R),2.2,3.15,3.2,1.62,2.5,2.15,3,Colon 2 Estudiantes 2,77,3,Colon 2 Estudiantes 2,2.35,3.05,2.95,1.56,2.5,2.25
2,2, Maritsa Plovdiv Montana,2.55,3.15,2.65,1.7,2.5,2.05,5,Maritsa Plovdiv Montana,100,5,Maritsa Plovdiv Montana,2.55,3.00,2.60,1.67,2.5,2.05
3,3, Macva Crvena zvezda,39.0,12.1,1.05,4.15,2.5,1.25,7,Macva Sabac Crvena zvezda,86,4,Macva Sabac Crvena zvezda,45.00,13.00,1.05,3.6,2.5,1.25
4,4, Fakel Krylia Sovetov,3.4,3.2,2.2,1.7,2.5,2.03,9,Fakel Voronezh Krylya Sovetov Samara,68,7,Fakel Voronezh Krylya Sovetov Samara,3.30,3.15,2.22,1.73,2.5,2.02
5,5, Honka HJK Helsinki,2.8,3.15,2.6,1.58,2.5,2.25,11,Honka HJK Helsinki,100,11,Honka HJK Helsinki,2.85,3.00,2.65,1.54,2.5,2.45
6,6, H.Kfar Shalem H.Bikat Hayarden,1.65,3.45,4.75,1.75,2.5,1.95,13,Hapoel Kfar Shalem Hapoel Bikat Hayarden,86,9,Hapoel Kfar Shalem Hapoel Bikat Hayarden,1.67,3.50,4.85,1.74,2.5,1.97
7,7, Sahab Shabab Al Ordun,2.35,2.95,2.9,1.6,2.5,2.2,15,Sahab Shabab Al Ordon,95,13,Sahab Shabab Al Ordon,2.38,2.95,3.05,1.59,2.5,2.2
8,8, Concordia Chiajna Uni. Cluj,3.75,3.05,2.05,1.5,2.5,2.4,17,Concordia Chiajna U. Cluj,96,15,Concordia Chiajna U. Cluj,3.80,2.95,2.05,1.44,2.5,2.6
9,9,1 ASEC Mimosas SO Armee,1.42,4.4,5.6,2.85,2.5,1.37,19,ASEC Mimosas SO Armee,95,17,ASEC Mimosas SO Armee,1.44,4.55,5.75,2.6,2.5,1.44
10,10, Hobro Fremad Amager,2.25,3.25,2.95,1.9,2.5,1.8,21,Hobro Fremad Amager,100,21,Hobro Fremad Amager,2.30,3.20,3.10,1.86,2.5,1.85
11,11,-Z Bayern M. W Real Sociedad W,1.2,5.6,13.2,2.42,2.5,1.5,23,Bayern Munich W Real Sociedad W,88,24,Bayern Munich W Real Sociedad W,1.19,6.10,13.00,2.5,2.5,1.47
12,12,SS Kvarnsvedens IK Korsnas IF,2.15,3.65,2.9,2.3,2.5,1.55,25,Kvarnsveden Korsnas IF FK,81,23,Kvarnsveden Korsnas IF FK,2.25,3.50,2.80,2.35,2.5,1.52
13,13, Eskisehir Mus,3.05,3.2,2.15,1.82,2.5,1.88,27,Eskisehirspor Mus 1984 Musspor,60,20,Eskisehirspor Mus 1984 Musspor,3.10,3.35,2.22,1.79,2.5,1.93
14,14, Arda Kurdzhali Hebar Pazardzhik,1.48,3.8,6.65,1.7,2.5,2.02,29,Arda Kurdzhali Hebar Pazardzhik,100,25,Arda Kurdzhali Hebar Pazardzhik,1.45,3.95,7.75,1.68,2.5,2.07
15,15,-Z Everton W Leicester W,1.45,4.25,6.5,2.12,2.5,1.65,31,Everton W Leicester City W,86,27,Everton W Leicester City W,1.42,4.40,6.25,2.22,2.5,1.58
16,16, Maan Al Jazeera J.,4.15,3.7,1.75,1.9,2.5,1.8,33,Maan Al Jazeera Club Amman,74,28,Maan Al Jazeera Club Amman,4.60,3.55,1.69,1.85,2.5,1.85
17,17, Spartak M. Zenit,4.4,4.05,1.7,2.15,2.5,1.65,35,Spartak M. Zenit Petersburg,73,29,Spartak M. Zenit Petersburg,4.70,3.85,1.68,2.12,2.5,1.66
18,18, Atletico Grau Sport Boys As.,1.55,3.9,5.65,1.85,2.5,1.85,37,Grau Sport Boys Association,81,34,Grau Sport Boys Association,1.56,3.95,5.80,1.83,2.5,1.89
19,19, Sporting Cristal AD Tarma,1.25,5.65,9.3,2.95,2.5,1.35,39,Sporting Cristal Asociacion Deportiva Tarma,71,36,Sporting Cristal Asociacion Deportiva Tarma,1.25,6.00,9.75,3.2,2.5,1.31
20,20,R Aldosivi (R) Tigre (R),2.75,3.25,2.4,1.78,2.5,1.92,1,Aldosivi 2 CA Tigre 2,73,0,Aldosivi 2 CA Tigre 2,2.75,3.05,2.50,1.77,2.5,1.94
21,21,R Colon (R) Estudiantes (R),2.2,3.15,3.2,1.62,2.5,2.15,3,Colon 2 Estudiantes 2,77,3,Colon 2 Estudiantes 2,2.35,3.05,2.95,1.56,2.5,2.25
22,22, Maritsa Plovdiv Montana,2.55,3.15,2.65,1.7,2.5,2.05,5,Maritsa Plovdiv Montana,100,5,Maritsa Plovdiv Montana,2.55,3.00,2.60,1.67,2.5,2.05
23,23, Macva Crvena zvezda,39.0,12.1,1.05,4.15,2.5,1.25,7,Macva Sabac Crvena zvezda,86,4,Macva Sabac Crvena zvezda,45.00,13.00,1.05,3.6,2.5,1.25
24,24, Fakel Krylia Sovetov,3.4,3.2,2.2,1.7,2.5,2.03,9,Fakel Voronezh Krylya Sovetov Samara,68,7,Fakel Voronezh Krylya Sovetov Samara,3.30,3.15,2.22,1.73,2.5,2.02
25,25, Honka HJK Helsinki,2.8,3.15,2.6,1.58,2.5,2.25,11,Honka HJK Helsinki,100,11,Honka HJK Helsinki,2.85,3.00,2.65,1.54,2.5,2.45
26,26, Atletico Morelia Tepatitlan,1.67,3.45,5.15,1.7,2.5,2.03,13,Atletico Morelia Tepatitlan de Morelos,83,47,Atletico Morelia Tepatitlan de Morelos,1.66,3.60,5.30,1.72,2.5,2.02
27,27, Santos DG Perez Zeledon,2.1,3.55,3.1,2.12,2.5,1.65,15,AD Santos Zeledon,80,51,AD Santos Zeledon,2.18,3.55,3.00,2.22,2.5,1.59
28,28, America Quito Imbabura,2.4,2.8,3.0,1.5,2.5,2.4,17,America De Quito Imbabura Sporting Club,72,53,America De Quito Imbabura Sporting Club,2.38,2.95,3.05,1.48,2.5,2.45
29,29, Tapatio Venados,2.3,2.95,3.15,1.55,2.5,2.3,19,Tapatio Venados,100,54,Tapatio Venados,2.35,3.05,3.15,1.61,2.5,2.2
30,30, Vasco da Gama Londrina,1.65,3.15,6.4,1.45,2.5,2.55,21,Vasco da Gama Londrina,100,55,Vasco da Gama Londrina,1.67,3.20,6.30,1.42,2.5,2.7
31,31, Ind. Santa Fe Atl. Nacional,2.75,3.2,2.6,1.63,2.5,2.15,23,Santa Fe Atletico Nacional,82,57,Santa Fe Atletico Nacional,2.70,3.20,2.60,1.72,2.5,2.02
32,32, Sporting San Jose AD San Carlos,2.2,3.55,2.85,2.05,2.5,1.68,25,Sporting San Jose San Carlos,95,58,Sporting San Jose San Carlos,2.28,3.40,2.95,1.99,2.5,1.74
33,33, Atletico La Paz Alebrijes Oaxaca,2.55,3.0,2.75,1.57,2.5,2.25,27,Atletico La Paz Alebrijes De Oaxaca,96,59,Atletico La Paz Alebrijes De Oaxaca,2.60,3.00,2.85,1.56,2.5,2.3
34,34, Changchun Yatai Shenzhen,1.5,4.2,6.6,2.0,2.5,1.72,29,Changchun Yatai Shenzhen,100,61,Changchun Yatai Shenzhen,1.48,4.30,6.50,2.05,2.5,1.75
35,35, Barracas Central Gimnasia LP,2.8,3.1,2.65,1.6,2.5,2.2,1,Barracas Central Gimnasia L.P.,98,37,Barracas Central Gimnasia L.P.,2.75,3.05,2.80,1.56,2.5,2.38
36,36, Viitorul Targu Jiu Dinamo Buc.,3.25,3.1,2.2,1.7,2.5,2.02,3,Viitorul Tg. Jiu Dinamo Bucuresti,85,38,Viitorul Tg. Jiu Dinamo Bucuresti,2.95,3.10,2.30,1.72,2.5,1.99
37,37, Cobreloa Magallanes,2.0,3.25,3.85,1.55,2.5,2.28,5,Cobreloa Deportes Magallanes,81,40,Cobreloa Deportes Magallanes,2.15,2.95,3.60,1.52,2.5,2.38
38,38, FBC Melgar Dep.Binacional,1.3,4.5,10.8,1.72,2.5,2.0,7,FBC Melgar Binacional,91,41,FBC Melgar Binacional,1.30,4.80,11.00,1.73,2.5,2.0
