,teams,1_adm,X_adm,2_adm,under_adm,goals_adm,over_adm
0,Bastia Borgo Versailles,4.25,3.30,1.89,1.70,2.5,2.05
1,Bourg en Bresse Sedan,1.72,3.50,5.00,1.74,2.5,1.99
2,FC Martigues Paris 13 Atletico,2.00,3.40,3.60,1.95,2.5,1.77
3,Dunkerque Stade Briochin,1.94,3.20,4.10,1.64,2.5,2.15
4,Nancy Cholet,1.79,3.55,4.35,1.84,2.5,1.87
5,Le Mans Avranches,1.61,3.80,5.40,2.12,2.5,1.64
6,Le Puy Red Star,4.30,3.35,1.85,1.60,2.5,2.22
7,Orleans Villefranche,2.90,3.00,2.55,1.57,2.5,2.28
8,Feyenoord Rotterdam W SC Telstar VVNH W,1.14,7.50,13.00,3.20,2.5,1.29
9,Traiskirchen TWL Elektra,2.50,3.35,2.55,2.18,2.5,1.61
10,Aqaba Al Sareeh,2.45,2.95,2.90,1.59,2.5,2.20
11,Hannover 2 Hildesheim,1.64,3.90,4.50,2.28,2.5,1.56
12,Oberhausen Duren,1.78,3.80,3.75,2.30,2.5,1.55
13,Zwolle W Fortuna Sittard W,4.45,4.05,1.62,2.65,2.5,1.42
14,VV Alkmaar W Excelsior W,1.92,4.10,3.05,3.20,2.5,1.30
15,Wiener Sport Club Mauerwerk,1.92,3.80,3.25,2.55,2.5,1.46
16,Vocklamarkt WSC Wels,15.00,6.00,1.17,2.45,2.5,1.49
17,Yverdon Aarau,2.38,3.65,2.65,2.55,2.5,1.45
18,NAC Breda Venlo,1.72,3.85,4.55,2.35,2.5,1.54
19,Den Bosch Heracles,4.95,4.05,1.64,2.28,2.5,1.57
20,Eindhoven Dordrecht,1.46,4.40,6.75,2.22,2.5,1.60
21,Virton Club Brugge KV U23,2.00,3.55,3.45,1.91,2.5,1.81
22,Genk U23 Dender,2.00,3.50,3.50,2.10,2.5,1.66
23,Mezokovesd Zsory Paks,2.35,3.55,2.80,2.28,2.5,1.57
24,Sporting Gil Vicente,1.34,5.30,9.50,2.30,2.5,1.61
25,Telstar Utrecht 2,1.80,4.00,3.95,1.98,2.5,1.75
26,Den Haag PSV 2,1.91,3.75,3.70,2.30,2.5,1.55
27,De Graafschap AZ Alkmaar 2,1.66,4.15,4.65,2.40,2.5,1.52
28,Almere City Roda,2.35,3.40,3.00,1.95,2.5,1.77
29,Maastricht Willem II,5.70,4.55,1.51,2.35,2.5,1.53
30,PEC Zwolle Ajax 2,1.54,4.60,5.20,3.45,2.5,1.27
31,Helmond Oss,2.12,3.35,3.40,1.90,2.5,1.81
32,Universitatea Craiova FC Voluntari,1.52,3.75,7.00,1.67,2.5,2.10
33,Neusiedl Wiener Viktoria,1.53,4.70,4.45,2.85,2.5,1.37
34,Wiener Neustadt Marchfeld,4.55,4.20,1.58,2.55,2.5,1.45
35,Biskra MC Magra,1.69,3.30,5.75,1.37,2.5,2.88
36,Zrinjski Sloboda Tuzla,1.16,6.20,19.00,2.04,2.5,1.70
37,Luebeck Atlas Delmenhorst,1.39,4.80,6.20,2.18,2.5,1.61
38,Brighton & H. U21 Tottenham U21,2.00,3.70,3.15,2.70,2.5,1.41
39,Fulham U21 Everton U21,1.90,3.75,3.35,2.50,2.5,1.47
40,Aston Villa U21 West Bromwich Albion U21,2.15,3.70,2.80,3.20,2.5,1.30
41,Leeds United U21 Stoke City U21,1.33,6.00,5.90,3.30,2.5,1.28
42,Middlesbrough U21 Newcastle United U21,1.77,4.00,3.65,3.00,2.5,1.34
43,Norwich City U21 Derby County U21,1.42,4.70,5.90,3.55,2.5,1.25
44,Hol SB,PEC Zwolle,Ajax 2,3+1,1.59,4.70,5.35
45,Rum SB,Universitatea Craiova,FC Voluntari,3+1,1.58,3.81,7.17
46,Real San Joaquin Trasandino,2.50,3.20,2.62,1.76,2.5,1.95
47,Alianza Atletico U. de Deportes,2.60,3.05,2.85,1.63,2.5,2.15
48,Thun Xamax,1.65,4.05,4.60,2.40,2.5,1.52
49,Lausanne Wil,1.48,4.60,5.70,2.85,2.5,1.38
50,Cosenza Como,2.75,3.20,2.65,1.71,2.5,2.10
51,Ita SB,Cosenza,Como,3+1,2.86,3.30,2.75
52,Bayern Munich Bayer Leverkusen,1.40,5.75,7.00,3.65,2.5,1.31
53,St. Polten Amstetten,2.30,3.50,2.95,2.18,2.5,1.62
54,Deportivo Espanol Sportivo Italiano,2.18,2.80,3.75,1.36,2.5,2.90
55,Rubio Nu Deportivo Santani,2.55,2.85,2.88,1.52,2.5,2.35
56,Llanelli Abergavenny Town,1.41,4.70,5.80,2.90,2.5,1.36
57,Ammanford Goytre United,2.20,3.45,2.90,2.20,2.5,1.59
58,Briton Ferry Swansea University,1.15,7.10,13.00,3.75,2.5,1.22
59,Ruthin Town Chirk AAA,1.41,4.45,6.40,2.40,2.5,1.50
60,Llandudno FC Porthmadog FC,1.66,3.95,4.25,2.50,2.5,1.47
61,Ind. Cauquenes Limache,3.50,3.20,2.03,1.77,2.5,1.94
62,Genk W Anderlecht W,12.00,6.20,1.16,3.10,2.5,1.31
63,Wisla Plock Piast Gliwice,2.30,3.30,3.10,1.83,2.5,1.94
64,Chojniczanka Wisla Krakow,3.40,3.30,2.07,1.88,2.5,1.83
65,Mansfield Hartlepool,1.45,4.50,6.80,2.03,2.5,1.76
66,Standard Liege RFC Seraing,1.69,3.90,4.95,2.02,2.5,1.77
67,Bel SB,Standard Liege,RFC Seraing,3+1,1.76,3.95,5.04
68,Dundalk Drogheda,1.58,4.10,5.45,2.10,2.5,1.72
69,Treaty United Galway,4.55,3.50,1.71,1.91,2.5,1.79
70,Waterford Cobh Ramblers,1.16,6.50,13.00,2.95,2.5,1.35
71,Athlone Longford,3.45,3.85,1.85,2.30,2.5,1.55
72,Wexford Bray,1.50,4.25,5.30,2.12,2.5,1.64
73,St. Patricks Derry City,3.00,3.15,2.45,1.69,2.5,2.12
74,Bohemians UC Dublin,1.54,4.20,5.75,2.08,2.5,1.72
75,Glentoran Ballymena,1.26,5.40,11.00,2.20,2.5,1.61
76,Portadown Glenavon,4.75,4.10,1.62,2.28,2.5,1.56
77,TNS Newtown,1.14,7.70,16.00,2.95,2.5,1.35
78,Airbus Bala Town,7.50,5.00,1.36,2.85,2.5,1.38
79,Enfield Town Corinthian Casuals,1.49,4.30,5.40,2.50,2.5,1.46
80,Europa Magpies,2.05,3.70,3.00,2.45,2.5,1.49
81,Irs SB,St. Patricks,Derry City,3+1,3.11,3.20,2.60
82,Hull Luton,3.10,3.25,2.38,1.75,2.5,2.10
83,Eng SB,Hull,Luton,3+1,3.20,3.30,2.48
84,Tenerife Gijon,2.28,2.95,3.60,1.44,2.5,2.70
85,Angers Marseille,4.70,3.70,1.85,2.07,2.5,1.80
86,Fra SB,Angers,Marseille,3+1,4.81,3.75,1.92
87,HSC Montpellier W Bordeaux W,1.44,4.40,6.10,2.22,2.5,1.58
88,Needham Market Brightlingsea,2.07,3.55,3.20,2.62,2.5,1.43
89,Athletic Bilbao Almeria,1.42,5.10,8.25,2.12,2.5,1.75
90,Finn Harps Shelbourne,2.65,3.15,2.75,1.62,2.5,2.25
91,Santa Cruz Tomayapo,1.71,3.70,4.45,2.00,2.5,1.73
92,AC Juvenes/Dogana SS Murata,2.30,3.35,2.80,1.94,2.5,1.76
93,Chabab Mohammedia Raja Casablanca Athletic,5.60,3.10,1.74,1.44,2.5,2.60
94,UD Tenerife Sur Ibarra U19 San Jose U19,5.75,4.33,1.42,2.70,2.5,1.39
95,Orsomarso Fortaleza,6.90,3.75,1.48,1.54,2.5,2.30
96,Porto Braga,1.87,3.70,4.20,2.07,2.5,1.76
97,Por SB,Porto,Braga,3+1,1.94,3.75,4.29
98,Cajamarca Cesar Vallejo,2.18,3.30,3.25,1.72,2.5,2.02
99,Cerro Largo Danubio,3.35,2.85,2.38,1.38,2.5,2.80
100,Caracas Deportivo La Guaira,2.28,3.10,3.20,1.70,2.5,2.04
101,Sampaio Correa Gremio Porto Alegrense,2.70,3.10,2.70,1.55,2.5,2.30
102,Operario Vila Nova,2.50,2.75,3.25,1.34,2.5,3.05
103,CSA Guarani,2.28,2.85,3.55,1.38,2.5,2.85
104,Tigre Aldosivi,1.33,4.85,9.50,2.00,2.5,1.78
105,Estudiantes de La Plata Colon de Santa Fe,1.80,3.55,4.50,1.84,2.5,1.93
106,Queretaro W Cruz Azul W,4.20,3.20,1.85,1.67,2.5,2.07
107,Sol de America Cerro Porteno,5.35,3.50,1.68,1.61,2.5,2.20
108,Union La Calera Coquimbo,1.81,3.25,4.80,1.64,2.5,2.15
109,Tigres Bogota,2.25,3.20,3.00,1.70,2.5,2.03
110,Estudiantes Merida Hermanos Colmenares,2.22,3.25,3.20,1.84,2.5,1.87
111,Toronto Inter Miami,2.18,4.05,2.90,2.75,2.5,1.44
112,Plaza Colonia Liverpool Montevideo,5.10,3.35,1.73,1.62,2.5,2.18
113,Puebla Club America,3.15,3.65,2.15,2.25,2.5,1.62
114,Gualaceo U. Catolica,4.10,3.30,1.91,1.79,2.5,1.93
115,Guabira Montero Jorge Wilstermann,1.74,3.40,4.75,1.97,2.5,1.75
116,Club Tijuana W Deportivo Toluca W,1.84,3.75,3.60,2.40,2.5,1.50
117,Talleres Acassuso,2.62,2.85,2.80,1.47,2.5,2.50
118,Cashmere Technical Miramar Rangers,2.10,3.90,2.88,2.70,2.5,1.41
119,Gimnasia Jujuy San Martin T.,6.10,3.15,1.70,1.41,2.5,2.70
120,Chapecoense SC Bahia,2.60,2.90,2.95,1.48,2.5,2.50
121,Racing Club Club Atletico Rosario Central,1.67,3.75,5.20,1.73,2.5,2.07
122,Union De Santa Fe Newells Old Boys,2.12,3.20,3.65,1.61,2.5,2.28
123,Independiente Medellín Petrolera,1.57,3.90,5.70,1.92,2.5,1.80
124,San Francisco Independiente De La Chorrera,3.60,3.05,2.05,1.60,2.5,2.20
125,Napier City Rovers AFC Wellington Phoenix Res,2.30,4.05,2.50,3.25,2.5,1.30
126,Juarez U.N.A.M. Pumas,2.00,3.60,3.55,2.10,2.5,1.72
127,Las Vegas Lights New Mexico United,3.10,3.20,2.20,1.94,2.5,1.77
128,Pacific FC FC Edmonton,1.41,4.30,7.30,2.30,2.5,1.54
129,Tigres UANL W Monterrey W,1.93,3.70,3.35,2.45,2.5,1.49
130,San Diego Wave FC W North Carolina Courage W,1.98,3.60,3.05,2.50,2.5,1.42
131,CD Mictlan Sacachispas,1.61,3.30,6.00,1.39,2.5,2.75
132,Wellington Olympic Auckland City,2.20,3.90,2.65,2.88,2.5,1.36
133,Orca Kamogawa W C Osaka W.,2.80,3.20,2.35,1.99,2.5,1.73
134,Takatsuki Speranza Osaka W Nittaidai W,3.70,3.25,1.95,1.77,2.5,1.94
135,Gimpo Asan,4.80,3.15,1.81,1.69,2.5,2.05
136,Cerezo Osaka Shonan Bellmare,1.99,3.35,4.00,1.73,2.5,2.08
137,Kofu Tochigi,2.30,3.00,3.45,1.46,2.5,2.55
138,Montedio Yamagata Albirex Niigata,3.00,3.25,2.38,1.79,2.5,1.93
139,Seoul Daegu,2.30,3.30,3.20,1.85,2.5,1.93
140,Fujieda MYFC YSCC Yokohama,1.47,4.45,6.00,2.15,2.5,1.63
141,Siheung Citizen Pocheon,2.40,3.15,2.80,1.72,2.5,2.00
142,Kusatsu Omiya Ardija,2.70,3.15,2.70,1.56,2.5,2.28
143,Avispa Fukuoka Vissel Kobe,3.00,3.00,2.60,1.51,2.5,2.50
144,Paju Citizen Daejeon Korail,1.94,3.15,3.95,1.62,2.5,2.15
145,Cheonan City Dangjin Citizen,1.40,4.20,7.30,2.07,2.5,1.68
146,Gyeongju KHNP Hwaseong,2.18,3.15,3.20,1.80,2.5,1.90
147,Sanfrecce Hiroshima Urawa Reds,2.12,3.35,3.50,1.81,2.5,1.97
148,Sagan Tosu Kyoto,2.15,3.30,3.55,1.75,2.5,2.05
149,Kashima Antlers Tokyo,2.10,3.40,3.55,1.84,2.5,1.93
150,Seoul E Land Bucheon 1995,2.60,2.85,2.95,1.62,2.5,2.18
151,Tokushima Machida,2.35,3.00,3.30,1.48,2.5,2.50
152,Nagoya Grampus Yokohama Marinos,3.60,3.70,1.99,1.99,2.5,1.80
153,Hokkaido Consadole Sapporo Kawasaki Frontale,3.85,3.70,1.93,2.20,2.5,1.66
154,Gamba Osaka Kashiwa Reysol,2.70,3.40,2.62,1.89,2.5,1.89
155,Incheon United Ulsan Hyundai,5.00,3.60,1.74,1.80,2.5,1.98
156,Politehnica Iasi Fcm Baia Mare,1.29,4.60,10.00,1.97,2.5,1.74
157,CSC Dumbravita Ripensia Timisoara,2.55,3.05,2.70,1.76,2.5,1.95
158,Progresul Spartac Unirea Dej,2.70,3.00,2.60,1.69,2.5,2.04
159,Canberra Croatia Monaro Pantehrs,1.71,3.95,3.65,2.95,2.5,1.31
160,FC Banik Ostrava U19 Karvina U19,1.83,3.60,3.50,2.40,2.5,1.49
161,Trinec Afk Chrudim,2.18,3.20,3.15,1.88,2.5,1.82
