,teams,1_bway,X_bway,2_bway,under_bway,goals_bway,over_bway
0,Barracas Central -CA Sarmiento,"2,25","3,10","3,00","2,20","2,5","1,61"
1,San Lorenzo -Vélez Sarsfield,"2,40","2,75","3,10","1,57","1,5","2,25"
2,Union de Santa Fe -Arsenal de Sarandi,"2,05","3,10","3,40","2,25","2,5","1,57"
3,Platense -Colon de Santa Fe,"2,00","3,10","3,60","2,25","2,5","1,57"
4,Cuiaba MT -Flamengo,"3,30","3,10","2,25","2,25","2,5","1,57"
5,Corinthians -Athletico PR,"2,20","3,10","3,40","2,30","2,5","1,55"
6,Sandhausen -Magdeburg,"2,37","3,60","2,62","1,65","2,5","2,10"
7,Hamburgo -Kaiserslautern,"1,53","4,20","5,25","1,65","2,5","2,10"
8,SC Freiburg II -Rot Weiss Essen,"2,25","3,40","2,90","1,80","2,5","1,90"
9,Borussia Dortmund -Bayern de Múnich,"4,20","4,33","1,72","1,95","3,5","1,83"
10,Villa San Carlos -Talleres de Remedios de Escalada,"2,20","3,00","3,20","1,55","1,5","2,30"
11,Canuelas -Defensores Unidos,"2,25","3,00","3,10","1,50","1,5","2,40"
12,Central Cordoba de Rosario -Deportivo Español,"3,75","3,25","1,90","2,25","2,5","1,57"
13,Agropecuario Argentino -Deportivo Morón,"4,75","2,90","1,83","1,66","1,5","2,10"
14,Atlético Rafaela -Deportivo Riestra,"2,80","2,80","2,60","2,40","2,5","1,50"
15,CA Brown Adrogue -Almirante Brown,"1,70","3,40","4,50","2,10","2,5","1,66"
16,Chacarita -Villa Dalmine,"1,85","3,10","4,20","2,37","2,5","1,53"
17,Estudiantes de Buenos Aires -All Boys,"1,37","3,80","9,00","1,50","1,5","2,40"
18,Quilmes AC -Deportivo Maipu,"2,40","3,10","2,75","2,10","2,5","1,66"
19,San Martín de San Juan -CA San Telmo,"1,40","4,20","7,00","1,90","2,5","1,80"
20,Crucero Del Norte -Juventud Antoniana de Salta,"2,60","3,00","2,60","2,25","2,5","1,57"
21,Atlético Paraná -Juventud Unida Gualeguaychu,"2,15","3,00","3,30","2,25","2,5","1,57"
22,Wellington Phoenix -Adelaide United,"2,62","3,30","2,50","1,72","2,5","2,00"
